# worker_assignment_log.txt — AUDIT-CLOSURE-E2-008
# Generated: 2026-05-21T19:35:31.766265Z
# Workers: ['alpha', 'beta', 'gamma']
# Nodes: ['Node-A', 'Node-B', 'Node-C']
# Deterministic: True
# Rule: least-loaded → min(load/capacity, -capacity) → first in registry order

Run  1 | ✅ | A→alpha,B→beta,C→gamma
Run  2 | ✅ | A→alpha,B→beta,C→gamma
Run  3 | ✅ | A→alpha,B→beta,C→gamma
Run  4 | ✅ | A→alpha,B→beta,C→gamma
Run  5 | ✅ | A→alpha,B→beta,C→gamma
Run  6 | ✅ | A→alpha,B→beta,C→gamma
Run  7 | ✅ | A→alpha,B→beta,C→gamma
Run  8 | ✅ | A→alpha,B→beta,C→gamma
Run  9 | ✅ | A→alpha,B→beta,C→gamma
Run 10 | ✅ | A→alpha,B→beta,C→gamma
Run 11 | ✅ | A→alpha,B→beta,C→gamma
Run 12 | ✅ | A→alpha,B→beta,C→gamma
Run 13 | ✅ | A→alpha,B→beta,C→gamma
Run 14 | ✅ | A→alpha,B→beta,C→gamma
Run 15 | ✅ | A→alpha,B→beta,C→gamma
Run 16 | ✅ | A→alpha,B→beta,C→gamma
Run 17 | ✅ | A→alpha,B→beta,C→gamma
Run 18 | ✅ | A→alpha,B→beta,C→gamma
Run 19 | ✅ | A→alpha,B→beta,C→gamma
Run 20 | ✅ | A→alpha,B→beta,C→gamma
