run_idx,query,intent,target,target_type,confidence,planner_version,node_count,edge_count,dag_hash,topology_hash
1,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
2,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
3,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
4,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
5,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
6,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
7,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
8,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
9,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
10,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
11,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
12,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
13,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
14,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
15,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
16,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
17,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
18,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
19,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
20,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
21,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
22,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
23,explain FileReader,explain,FileReader,symbol,1.0,1.0.0,4,3,0eb44ef238a148ed87a7e2493195c7795c4449d84ea48b659c927adff51c2892,e9fc4fbcd014fbac96941e5d25d582a6b2d2caac6a354b6ea1556aa7026c88f9
